total_SBA,540,7a,ESTAB,GEO_ID,mean_agi,ZIPCODE,SBA_per_Small,540_per_Small,7a_per_Small,tot_ratio_buckets,tot_ratio_buckets_rank,_540_ratio_buckets,_540_ratio_buckets_rank,_7a_ratio_buckets,_7a_ratio_buckets_rank,mean_agi_buckets,mean_agi_buckets_rank
1,,1.0,523.0,8610000US74104,49515.0,74104,0.0019120458891,,0.0019120458891,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"(43085, 49963]",4.0
1,,1.0,,,,74587,,,,,,,,,,,
1,,1.0,,,,74608,,,,,,,,,,,
1,,1.0,108.0,8610000US75076,43907.0,75076,0.00925925925926,,0.00925925925926,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"(43085, 49963]",4.0
2,,2.0,1508.0,8610000US80110,33800.0,80110,0.00132625994695,,0.00132625994695,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(31958.75, 36760]",2.0
1,,1.0,7.0,8610000US84002,,84002,0.142857142857,,0.142857142857,"(0.111, 0.163]",4.0,,,"(0.108, 0.146]",4.0,,
1,,1.0,491.0,8610000US84066,51608.0,84066,0.0020366598778,,0.0020366598778,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"(49963, 58591]",5.0
1,1.0,,5.0,8610000US84086,35547.0,84086,0.2,0.2,,"(0.163, 0.201]",5.0,"(0.1, 1]",8.0,,,"(31958.75, 36760]",2.0
1,,1.0,35.0,8610000US84122,,84122,0.0285714285714,,0.0285714285714,"(0.0192, 0.111]",3.0,,,"(0.0019, 0.0323]",2.0,,
1,,1.0,857.0,8610000US84403,41953.0,84403,0.00116686114352,,0.00116686114352,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(36760, 43085]",3.0
1,,1.0,59.0,8610000US84513,,84513,0.0169491525424,,0.0169491525424,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,,
1,1.0,,6.0,8610000US84520,26060.0,84520,0.166666666667,0.166666666667,,"(0.163, 0.201]",5.0,"(0.1, 1]",8.0,,,"[18558, 31958.75]",1.0
2,,2.0,,,,84550,,,,,,,,,,,
1,,1.0,,,,84560,,,,,,,,,,,
1,,1.0,,,,84566,,,,,,,,,,,
2,,2.0,,,,84577,,,,,,,,,,,
1,,1.0,,,,84583,,,,,,,,,,,
1,,1.0,,,,84587,,,,,,,,,,,
1,,1.0,26.0,8610000US84603,,84603,0.0384615384615,,0.0384615384615,"(0.0192, 0.111]",3.0,,,"(0.0323, 0.108]",3.0,,
1,1.0,,3.0,8610000US84710,,84710,0.333333333333,0.333333333333,,"(0.25, 0.333]",7.0,"(0.1, 1]",8.0,,,,
1,,1.0,11.0,8610000US85005,,85005,0.0909090909091,,0.0909090909091,"(0.0192, 0.111]",3.0,,,"(0.0323, 0.108]",3.0,,
1,,1.0,687.0,8610000US85008,26400.0,85008,0.00145560407569,,0.00145560407569,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"[18558, 31958.75]",1.0
1,,1.0,1017.0,8610000US85020,51726.0,85020,0.000983284169125,,0.000983284169125,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(49963, 58591]",5.0
1,,1.0,,,,85112,,,,,,,,,,,
1,,1.0,52.0,8610000US85123,,85123,0.0192307692308,,0.0192307692308,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,,
1,,1.0,,,,85129,,,,,,,,,,,
1,,1.0,103.0,8610000US85131,27193.0,85131,0.00970873786408,,0.00970873786408,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"[18558, 31958.75]",1.0
1,,1.0,,,,85404,,,,,,,,,,,
1,,1.0,,,,85436,,,,,,,,,,,
1,,1.0,,,,85521,,,,,,,,,,,
1,,1.0,2063.0,8610000US89102,33532.0,89102,0.000484730974309,,0.000484730974309,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(31958.75, 36760]",2.0
1,,1.0,1135.0,8610000US89509,59878.0,89509,0.000881057268722,,0.000881057268722,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(58591, 72552]",6.0
1,,1.0,429.0,8610000US90003,20111.0,90003,0.002331002331,,0.002331002331,"(0.00178, 0.0192]",2.0,,,"(0.0019, 0.0323]",2.0,"[18558, 31958.75]",1.0
1,,1.0,774.0,8610000US90011,19415.0,90011,0.00129198966408,,0.00129198966408,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"[18558, 31958.75]",1.0
1,,1.0,2248.0,8610000US90036,83618.0,90036,0.000444839857651,,0.000444839857651,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(72552, 113143.25]",7.0
1,,1.0,1198.0,8610000US90232,62427.0,90232,0.000834724540902,,0.000834724540902,"[0.000244, 0.00178]",1.0,,,"[0.000244, 0.0019]",1.0,"(58591, 72552]",6.0
